area,corr,year
Badlapur,"('72.82810491917377', '18.9733536')",2019
Tiwala,"('72.82810491917377', '18.9733536')",2019
Vangani,"('72.82810491917377', '18.9733536')",2019
Khed,"('72.82810491917377', '18.9733536')",2019
Mangaon,"('72.82810491917377', '18.9733536')",2019
Mandangad,"('72.82810491917377', '18.9733536')",2019
Ambernath,"('72.82810491917377', '18.9733536')",2019
Vasai and Virar,"('72.82810491917377', '18.9733536')",2019
Mumbai and surrounding areas,"('72.82810491917377', '18.9733536')",2019
Khar,"('72.82810491917377', '18.9733536')",2019
Mulund,"('72.82810491917377', '18.9733536')",2019
Andheri-Kurla Road,"('72.82810491917377', '18.9733536')",2019
stretches of the Western Express Highway,"('72.82810491917377', '18.9733536')",2019
Wadala,"('72.8137628', '19.1332194')",2019
Bhandup village road,"('72.8137748', '19.1332016')",2019
Ghatkopar East,"('72.8137926', '19.1331861')",2019
Jogeshwari-Vikhroli Link Road,"('72.82810491917377', '18.9733536')",2019
Ambarnath,"('72.8138452', '19.1331448')",2019
Shahapur,"('72.82810491917377', '18.9733536')",2019
Ghatkopar,"('72.8135195', '19.1328345')","2019, 2018"
Diva,"('72.82810491917377', '18.9733536')",2019
Mumbra,"('72.82810491917377', '18.9733536')",2019
Kalwa,"('72.82810491917377', '18.9733536')","2019, 2018"
Colaba,"('72.82810491917377', '18.9733536')",2018
Worli,"('72.82810491917377', '18.9733536')",2018
Trombay,"('72.82810491917377', '18.9733536')",2018
Navghar Industrial Area,"('72.82810491917377', '18.9733536')",2018
Vasai,"('72.82810491917377', '18.9733536')","2018, 2016"
Virar,"('72.82810491917377', '18.9733536')",2018
Nallasopara,"('72.82810491917377', '18.9733536')",2018
Mumbai suburbs,"('72.82810491917377', '18.9733536')","2018, 2017"
Malad subway,"('72.82810491917377', '18.9733536')",2018
some parts of Dadar and Malabar hill,"('72.82810491917377', '18.9733536')",2018
Gandhi market,"('72.82810491917377', '18.9733536')",2018
Dharavi,"('72.82810491917377', '18.9733536')",2018
Dadar TT circle,"('72.82810491917377', '18.9733536')",2018
"""Kings Circle""","('72.82810491917377', '18.9733536')",2018
parts of Santacruz and Andheri (East),"('72.82810491917377', '18.9733536')",2018
Sahar Road,"('72.82810491917377', '18.9733536')",2018
BKC,"('72.82810491917377', '18.9733536')",2018
Antop Hill,"('72.82810491917377', '18.9733536')",2018
Nalasopara,"('72.82810491917377', '18.9733536')",2018
Mankhurd,"('72.82810491917377', '18.9733536')",2018
Sandhurst Road,"('72.82810491917377', '18.9733536')",2018
Byculla,"('72.82810491917377', '18.9733536')",2018
Matunga,"('72.82810491917377', '18.9733536')",2018
Ratnagiri and Sindhudurg districts of Maharashtra as well as some other districts in Karnataka,"('72.82810491917377', '18.9733536')",2018
Sahyadri-Garbhalaya National Park,"('72.82810491917377', '18.9733536')",2017
Kalyan-Dombivli,"('72.82810491917377', '18.9733536')",2017
Mira Bhayandar,"('72.82810491917377', '18.9733536')",2017
Borivali East,"('72.82810491917377', '18.9733536')",2017
Shrikrishna Nagar,"('72.82810491917377', '18.9733536')",2017
Thane city,"('72.82810491917377', '18.9733536')",2016
Mithaghar,"('72.82810491917377', '18.9733536')",2016
Evershine City,"('72.82810491917377', '18.9733536')",2016
Navapur town,"('72.82810491917377', '18.9733536')",2016
Mumbai city,"('72.82810491917377', '18.9733536')",2014
M-East,"('72.82810491917377', '18.9733536')",2013
M-West,"('72.82810491917377', '18.9733536')",2013
T,"('72.82810491917377', '18.9733536')",2013
S,"('72.82810491917377', '18.9733536')",2013
